label,t,r,points,kTeams,scoringDiscAbs,minScoringDiscAbs,discSource,isSolvable,baselineUnlocked,baselineDiscAbs
24T130,130,0,0.0,22,290653068861074224846687499893111454171136,158134644731459542671806121,exact_nfdisc,True,True,28960433879509230519599927984644376133369856
24T131,131,8,0.030387,6,41854041915994688377922999984608049400643584,2615877619749668023620187499038003087540224,exact_nfdisc,True,,
24T133,133,0,0.0,46,15672749147817625314389415519289,2007399298721784440723355625,exact_nfdisc,True,True,156938077449417789520626992646455296
24T133,133,8,0.0,45,5106705043047168064000000000000000000,1066814290712003844962460836705625,exact_nfdisc,True,,
24T133,133,24,0.0,49,262945097766752228506579132280863719424,8329141479865346614704425372986465449,exact_nfdisc,True,True,8445720425333869702867335386398381644139584000000000000000000
24T134,134,0,1e-06,20,244297604095262112309686157969435255304204324962304000000000000000000,666758931695002403101538022941015625,exact_nfdisc,True,,
24T135,135,0,0.0,40,22459526297810799636782730182656,1211125828903274375952898401,exact_nfdisc,True,True,32982361051400240694294150960561
24T135,135,8,0.0,47,40429947591682505739812844440973833212551757824,20319319634689277312626982299631616,exact_nfdisc,True,,
24T135,135,24,0.0,48,8234384223735156040049449437920111886336,36610914446138971005046375312744140625,exact_nfdisc,True,True,9068523254492045063735110727811143097226555834761216000000000000
24T140,140,0,0.0,36,1981953692971647111633569301511642647443275776,44508058837456838686678179643392,exact_nfdisc,True,True,1053291452546545112653655703164648880199901921673216
24T143,143,0,0.0,60,183036440993410087156432502784000000,18674439797373428735749914624,exact_nfdisc,True,True,4387328061489269247100538049374715904
24T143,143,4,0.0,58,557465826072199906197504000000000000,298791036757974859771998633984,exact_nfdisc,True,True,32610934160648843268382966685223264190464
24T143,143,8,0.0,58,37287741433420320811685061536107371374822131902517224669184,76490505410041564101631650299904,mixed_disc,True,,
24T143,143,12,0.0,61,98056442891731559320533141183617040384,3862012001910434295709696000000000000,exact_nfdisc,True,,
24T143,143,24,0.0,40,14336157218348429714357361421391278809022464,202918737670930216270315656044778633560064,exact_nfdisc,True,True,66953630308849098509883801600000000000000000000
24T144,144,0,0.0,32,1005906726889822188725392964816896000000000000,37358356607458585005521179161,exact_nfdisc,True,True,2678658682623660056187071999014915161641189376
24T144,144,12,0.0,23,2820716391227130580063723272145561933837890625,59956713133443724437081394482666015625,exact_nfdisc,True,,
24T144,144,24,3e-06,19,58143434149163757123119577993641566360332926976,7064662998318827439018267532244024068931584,exact_nfdisc,True,True,15948042187164566521080246907715306127360000000000
24T145,145,12,0.0,30,25382523525824969909644864000000000000000000,2048328709698188853604276585088679936,exact_nfdisc,True,,
24T145,145,24,1.3e-05,17,76425163601642365516654913536331776000000000000,13562265364786838466772022852394109894656,exact_nfdisc,True,True,949505255199079225315801165725696000000000000000000
24T146,146,12,0.0,38,6241985930660675584000000000000000000,7768392522602131941318511962890625,exact_nfdisc,True,,
24T146,146,24,0.0,36,11058058837307157098266624000000000000000000,12800058280126780285360815525054931640625,exact_nfdisc,True,True,1024033943643028631635343215313105172514458195460096
24T147,147,8,0.0,36,876449257213367740219230511064115356631040000,12252192985362453861836887359619140625,exact_nfdisc,True,,
24T147,147,24,0.0,37,1110608101280836768303220729803561762816000000000000000000,724170081154234800187997699279541015625,exact_nfdisc,True,True,8445720425333869702867335386398381644139584000000000000000000
24T148,148,0,0.0,36,36913403068395553995526144000000000000,38706508535845936426412821970944,exact_nfdisc,True,True,485758124386377007104000000000000000000
